Seasonally Adjusted,,,,,,,,,,,,
Industry:,Total private,,,,,,,,,,,
Data Type:,"ALL EMPLOYEES, THOUSANDS",,,,,,,,,,,
Years:,1961 to 2012,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1961,45119,44970,45048,44998,45122,45289,45399,45534,45592,45717,45930,46036
1962,46040,46310,46374,46680,46670,46644,46720,46775,46889,46927,46911,46902
1963,46911,46999,47075,47316,47328,47357,47460,47542,47661,47804,47771,47864
1964,47925,48172,48286,48278,48419,48550,48735,48887,49117,48948,49339,49524
1965,49645,49826,49993,50208,50397,50562,50764,50957,51152,51341,51560,51823
1966,51988,52185,52500,52678,52891,53209,53327,53501,53580,53727,53816,53943
1967,54092,54076,54133,54031,54146,54216,54344,54553,54541,54583,55008,55165
1968,55010,55396,55453,55678,55747,55918,56108,56288,56417,56620,56877,57103
1969,57230,57475,57676,57827,58044,58277,58389,58635,58535,58691,58638,58764
1970,58680,58787,58848,58643,58456,58362,58356,58226,58203,57728,57579,57947
1971,57987,57930,57952,58091,58277,58246,58304,58332,58546,58527,58699,58919
1972,59175,59350,59615,59804,60053,60353,60227,60611,60689,61068,61330,61584
1973,61927,62303,62539,62678,62831,63015,63048,63264,63384,63630,63885,63961
1974,64010,64119,64144,64191,64328,64365,64348,64291,64188,64146,63733,63093
1975,62669,62171,61894,61665,61797,61737,61909,62283,62404,62640,62782,63071
1976,63534,63835,64061,64307,64341,64413,64554,64697,64921,64883,65167,65373
1977,65634,65932,66341,66653,66956,67281,67535,67747,68129,68337,68658,68872
1978,68983,69277,69729,70365,70675,71098,71303,71592,71802,72098,72497,72760
1979,72871,73108,73523,73440,73799,74063,74067,74071,74199,74345,74400,74492
1980,74599,74657,74698,74266,73966,73660,73422,73689,73883,74104,74356,74570
1981,74673,74759,74918,75023,75098,75331,75426,75455,75446,75311,75093,74822
1982,74524,74552,74410,74140,74104,73849,73631,73433,73260,72951,72809,72790
1983,72967,72913,73085,73374,73639,74001,74426,74113,75205,75534,75878,76222
1984,76663,77132,77399,77717,77995,78352,78617,78808,79089,79355,79671,79825
1985,80036,80154,80447,80608,80838,80961,81028,81221,81407,81579,81769,81915
1986,82017,82088,82179,82356,82458,82376,82694,82788,83024,83152,83303,83488
1987,83633,83883,84100,84390,84616,84776,85087,85248,85512,85869,86073,86314
1988,86388,86825,87042,87280,87481,87811,88056,88130,88379,88606,88871,89162
1989,89387,89615,89799,89951,90037,90115,90164,90131,90342,90443,90695,90761
1990,91046,91258,91350,91311,91240,91301,91264,91160,91083,90924,90763,90699
1991,90582,90253,90088,89882,89753,89776,89694,89746,89795,89764,89670,89689
1992,89684,89624,89653,89784,89899,89957,89977,90046,90134,90316,90436,90621
1993,90898,91145,91092,91364,91622,91783,91997,92183,92411,92695,92922,93210
1994,93454,93635,94058,94369,94664,94968,95312,95596,95914,96120,96509,96783
1995,97111,97295,97486,97642,97638,97848,97949,98213,98451,98574,98719,98862
1996,98873,99259,99469,99653,99967,100250,100473,100703,100851,101120,101404,101581
1997,101779,102084,102391,102693,102956,103165,103433,103482,103915,104202,104485,104793
1998,105053,105238,105382,105637,105980,106208,106283,106592,106779,106967,107199,107528
1999,107629,107987,108071,108373,108593,108827,109081,109201,109377,109733,109983,110246
2000,110449,110537,110876,111098,110971,111192,111380,111403,111629,111622,111810,111918
2001,111877,111898,111816,111483,111397,111175,111002,110825,110549,110193,109832,109642
2002,109491,109362,109301,109193,109133,109146,109060,109014,108978,109084,109051,108900
2003,108970,108837,108636,108599,108643,108603,108574,108611,108775,108915,108955,109059
2004,109249,109294,109568,109812,110096,110206,110258,110329,110477,110810,110829,110951
2005,111056,111306,111432,111782,111925,112194,112457,112654,112738,112844,113153,113289
2006,113599,113875,114160,114302,114335,114420,114565,114702,114778,114802,114999,115180
2007,115398,115442,115661,115685,115819,115881,115884,115806,115835,115893,115965,116033
2008,116034,115923,115849,115606,115389,115189,114940,114662,114232,113739,113001,112301
2009,111495,110756,109969,109158,108874,108450,108164,107964,107808,107537,107540,107322
2010,107316,107239,107377,107563,107670,107790,107873,108017,108126,108345,108478,108573
2011,108601,108857,109112,109441,109591,109791,109967,110121,110391,110580,110739,110960
2012,111323,111584,111826,111921,112040,112093,112263,112430,112610,112790,112968,113201
